GOAL_ID,GROUP_NAME,TICKET_NO,STATUS_FLAG,AMOUNT,TXN_STATUS,INSTALLMENT,TRXNS_TYPE,PAYMENT_MODE,RECEIVED_DATE,FTR_NUMBER,BANK_REF_NUMBER,TRXNS_DATE_TIME,TRXNS_DATE,TRXNS_BY,PAYMENT_GATEWAY,RECON_FLAG,COMMENTS
974551,HYG0011W,79,member,2000,SUCCESS,15,EMI,UPI,2022-11-01,974551M1667292690628,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1514263,MSRG028W,49,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1514263M1667292390914,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1383834,MPG027W,65,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1383834M1667292537785,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
139718,HYB003W,52,member,4000,SUCCESS,19,EMI,UPI,2022-11-01,139718M1667292509566,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
272601,HYB004W,41,member,4000,SUCCESS,15,EMI,UPI,2022-11-01,272601M1667292463011,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1514271,MSRG028W,50,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1514271M1667292260786,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1383817,MPG027W,64,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1383817M1667292396331,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
16894,HYD001W,6,member,10000,SUCCESS,21,EMI,UPI,2022-11-01,16894M1667292409223,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
208769,HYB004W,3,member,4000,SUCCESS,15,EMI,UPI,2022-11-01,208769M1667292380067,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1452132,MSRP001W,49,member,1000,SUCCESS,5,EMI,UPI,2022-11-01,1452132M1667292373825,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
214285,HYG0010W,52,member,2000,SUCCESS,16,EMI,UPI,2022-11-01,214285M1667292352239,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
950662,MPG022T,77,member,5000,SUCCESS,8,EMI,UPI,2022-11-01,950662M1667292333565,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
2029332,MPG025T,70,member,5000,SUCCESS,2,EMI,UPI,2022-11-01,2029332M1667292096848,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
2023675,MPG025T,73,member,5000,SUCCESS,2,EMI,UPI,2022-11-01,2023675M1667292115924,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1451314,MSRG028W,18,member,2000,SUCCESS,5,EMI,UPI,2022-11-01,1451314M1667292091809,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
665473,MPG021T,86,member,5000,SUCCESS,10,EMI,UPI,2022-11-01,665473M1667291981831,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1895301,MSRP011W,71,member,1000,SUCCESS,2,EMI,UPI,2022-11-01,1895301M1667292046438,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
487312,HYG0013W,81,member,2000,SUCCESS,12,EMI,UPI,2022-11-01,487312M1667292050679,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1743165,.MSRD009B,40,member,10000,SUCCESS,4,EMI,UPI,2022-11-01,1743165M1667292005034,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
1610575,MSRP003W,73,member,1000,SUCCESS,4,EMI,UPI,2022-11-01,1610575M1667292011460,2.31E+11,2022-11-01,2022-11-01,,CASHFREE,no,
